data-object,key,variants.sku,variants.key,variants.images.label,variants.images.url,variants.images.dimensions.w,variants.images.dimensions.h
variant,KeySnowboard001,SKU-SNW-2365-0006,VariantKeySNW-2365-0006,SNW-Image1-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
variant,KeySnowboard001,SKU-SNW-2365-0007,VariantKeySNW-2365-0007,SNW-Image1-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-1-01/0.jpg,700,700
image,KeySnowboard002,SKU-SNW-2537,VariantKeySNW-2537,SNW-Image2-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
image,KeySnowboard002,SKU-SNW-2537,VariantKeySNW-2537,SNW-Image2-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/1.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0001,VariantKeySNW-2537-0001,SNW-Image2-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0002,VariantKeySNW-2537-0002,SNW-Image2-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0003,VariantKeySNW-2537-0003,SNW-Image2-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0004,VariantKeySNW-2537-0004,SNW-Image2-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0005,VariantKeySNW-2537-0005,SNW-Image2-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0006,VariantKeySNW-2537-0006,SNW-Image2-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0007,VariantKeySNW-2537-0007,SNW-Image2-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0008,VariantKeySNW-2537-0008,SNW-Image2-08-0008,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
variant,KeySnowboard002,SKU-SNW-2537-0009,VariantKeySNW-2537-0009,SNW-Image2-09-0009,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-2-01/0.jpg,700,700
image,KeySnowboard003,SKU-SNW-2155,VariantKeySNW-2155,SNW-Image3-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
image,KeySnowboard003,SKU-SNW-2155,VariantKeySNW-2155,SNW-Image3-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/1.jpg,700,700
image,KeySnowboard003,SKU-SNW-2155,VariantKeySNW-2155,SNW-Image3-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/2.jpg,700,700
image,KeySnowboard003,SKU-SNW-2155,VariantKeySNW-2155,SNW-Image3-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/3.jpg,700,700
image,KeySnowboard003,SKU-SNW-2155,VariantKeySNW-2155,SNW-Image3-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/4.jpg,700,700
image,KeySnowboard003,SKU-SNW-2155,VariantKeySNW-2155,SNW-Image3-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/5.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0001,VariantKeySNW-2155-0001,SNW-Image3-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0002,VariantKeySNW-2155-0002,SNW-Image3-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0003,VariantKeySNW-2155-0003,SNW-Image3-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0004,VariantKeySNW-2155-0004,SNW-Image3-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0005,VariantKeySNW-2155-0005,SNW-Image3-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0006,VariantKeySNW-2155-0006,SNW-Image3-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0007,VariantKeySNW-2155-0007,SNW-Image3-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0008,VariantKeySNW-2155-0008,SNW-Image3-08-0008,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
variant,KeySnowboard003,SKU-SNW-2155-0009,VariantKeySNW-2155-0009,SNW-Image3-09-0009,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-3-01/0.jpg,700,700
image,KeySnowboard004,SKU-SNW-2876,VariantKeySNW-2876,SNW-Image4-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
image,KeySnowboard004,SKU-SNW-2876,VariantKeySNW-2876,SNW-Image4-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/1.jpg,700,700
image,KeySnowboard004,SKU-SNW-2876,VariantKeySNW-2876,SNW-Image4-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/2.jpg,700,700
image,KeySnowboard004,SKU-SNW-2876,VariantKeySNW-2876,SNW-Image4-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/3.jpg,700,700
image,KeySnowboard004,SKU-SNW-2876,VariantKeySNW-2876,SNW-Image4-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/4.jpg,700,700
image,KeySnowboard004,SKU-SNW-2876,VariantKeySNW-2876,SNW-Image4-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/5.jpg,700,700
image,KeySnowboard004,SKU-SNW-2876,VariantKeySNW-2876,SNW-Image4-07,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/6.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0001,VariantKeySNW-2876-0001,SNW-Image4-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0002,VariantKeySNW-2876-0002,SNW-Image4-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0003,VariantKeySNW-2876-0003,SNW-Image4-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0004,VariantKeySNW-2876-0004,SNW-Image4-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0005,VariantKeySNW-2876-0005,SNW-Image4-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0006,VariantKeySNW-2876-0006,SNW-Image4-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0007,VariantKeySNW-2876-0007,SNW-Image4-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
variant,KeySnowboard004,SKU-SNW-2876-0008,VariantKeySNW-2876-0008,SNW-Image4-08-0008,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-4-01/0.jpg,700,700
image,KeySnowboard005,SKU-SNW-3398,VariantKeySNW-3398,SNW-Image5-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/0.jpg,700,700
image,KeySnowboard005,SKU-SNW-3398,VariantKeySNW-3398,SNW-Image5-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/1.jpg,700,700
image,KeySnowboard005,SKU-SNW-3398,VariantKeySNW-3398,SNW-Image5-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/2.jpg,700,700
image,KeySnowboard005,SKU-SNW-3398,VariantKeySNW-3398,SNW-Image5-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/3.jpg,700,700
variant,KeySnowboard005,SKU-SNW-3398-0001,VariantKeySNW-3398-0001,SNW-Image5-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/0.jpg,700,700
variant,KeySnowboard005,SKU-SNW-3398-0002,VariantKeySNW-3398-0002,SNW-Image5-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/0.jpg,700,700
variant,KeySnowboard005,SKU-SNW-3398-0003,VariantKeySNW-3398-0003,SNW-Image5-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/0.jpg,700,700
variant,KeySnowboard005,SKU-SNW-3398-0004,VariantKeySNW-3398-0004,SNW-Image5-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-5-01/0.jpg,700,700
image,KeySnowboard006,SKU-SNW-2245,VariantKeySNW-2245,SNW-Image6-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/0.jpg,700,700
image,KeySnowboard006,SKU-SNW-2245,VariantKeySNW-2245,SNW-Image6-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/1.jpg,700,700
image,KeySnowboard006,SKU-SNW-2245,VariantKeySNW-2245,SNW-Image6-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/2.jpg,700,700
image,KeySnowboard006,SKU-SNW-2245,VariantKeySNW-2245,SNW-Image6-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/3.jpg,700,700
image,KeySnowboard006,SKU-SNW-2245,VariantKeySNW-2245,SNW-Image6-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/4.jpg,700,700
image,KeySnowboard006,SKU-SNW-2245,VariantKeySNW-2245,SNW-Image6-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/5.jpg,700,700
variant,KeySnowboard006,SKU-SNW-2245-0001,VariantKeySNW-2245-0001,SNW-Image6-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/0.jpg,700,700
variant,KeySnowboard006,SKU-SNW-2245-0002,VariantKeySNW-2245-0002,SNW-Image6-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/0.jpg,700,700
variant,KeySnowboard006,SKU-SNW-2245-0003,VariantKeySNW-2245-0003,SNW-Image6-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/0.jpg,700,700
variant,KeySnowboard006,SKU-SNW-2245-0004,VariantKeySNW-2245-0004,SNW-Image6-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/0.jpg,700,700
variant,KeySnowboard006,SKU-SNW-2245-0005,VariantKeySNW-2245-0005,SNW-Image6-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-6-01/0.jpg,700,700
image,KeySnowboard007,SKU-SNW-2905,VariantKeySNW-2905,SNW-Image7-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
image,KeySnowboard007,SKU-SNW-2905,VariantKeySNW-2905,SNW-Image7-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/1.jpg,700,700
image,KeySnowboard007,SKU-SNW-2905,VariantKeySNW-2905,SNW-Image7-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/2.jpg,700,700
image,KeySnowboard007,SKU-SNW-2905,VariantKeySNW-2905,SNW-Image7-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/3.jpg,700,700
image,KeySnowboard007,SKU-SNW-2905,VariantKeySNW-2905,SNW-Image7-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/4.jpg,700,700
image,KeySnowboard007,SKU-SNW-2905,VariantKeySNW-2905,SNW-Image7-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/5.jpg,700,700
image,KeySnowboard007,SKU-SNW-2905,VariantKeySNW-2905,SNW-Image7-07,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/6.jpg,700,700
variant,KeySnowboard007,SKU-SNW-2905-0001,VariantKeySNW-2905-0001,SNW-Image7-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
variant,KeySnowboard007,SKU-SNW-2905-0002,VariantKeySNW-2905-0002,SNW-Image7-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
variant,KeySnowboard007,SKU-SNW-2905-0003,VariantKeySNW-2905-0003,SNW-Image7-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
variant,KeySnowboard007,SKU-SNW-2905-0004,VariantKeySNW-2905-0004,SNW-Image7-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
variant,KeySnowboard007,SKU-SNW-2905-0005,VariantKeySNW-2905-0005,SNW-Image7-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
variant,KeySnowboard007,SKU-SNW-2905-0006,VariantKeySNW-2905-0006,SNW-Image7-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
variant,KeySnowboard007,SKU-SNW-2905-0007,VariantKeySNW-2905-0007,SNW-Image7-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-7-01/0.jpg,700,700
image,KeySnowboard008,SKU-SNW-3162,VariantKeySNW-3162,SNW-Image8-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/0.jpg,700,700
image,KeySnowboard008,SKU-SNW-3162,VariantKeySNW-3162,SNW-Image8-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/1.jpg,700,700
image,KeySnowboard008,SKU-SNW-3162,VariantKeySNW-3162,SNW-Image8-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/2.jpg,700,700
image,KeySnowboard008,SKU-SNW-3162,VariantKeySNW-3162,SNW-Image8-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/3.jpg,700,700
variant,KeySnowboard008,SKU-SNW-3162-0001,VariantKeySNW-3162-0001,SNW-Image8-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/0.jpg,700,700
variant,KeySnowboard008,SKU-SNW-3162-0002,VariantKeySNW-3162-0002,SNW-Image8-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/0.jpg,700,700
variant,KeySnowboard008,SKU-SNW-3162-0003,VariantKeySNW-3162-0003,SNW-Image8-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/0.jpg,700,700
variant,KeySnowboard008,SKU-SNW-3162-0004,VariantKeySNW-3162-0004,SNW-Image8-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/0.jpg,700,700
variant,KeySnowboard008,SKU-SNW-3162-0005,VariantKeySNW-3162-0005,SNW-Image8-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-8-01/0.jpg,700,700
image,KeySnowboard009,SKU-SNW-2858,VariantKeySNW-2858,SNW-Image9-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
image,KeySnowboard009,SKU-SNW-2858,VariantKeySNW-2858,SNW-Image9-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/1.jpg,700,700
image,KeySnowboard009,SKU-SNW-2858,VariantKeySNW-2858,SNW-Image9-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/2.jpg,700,700
image,KeySnowboard009,SKU-SNW-2858,VariantKeySNW-2858,SNW-Image9-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/3.jpg,700,700
image,KeySnowboard009,SKU-SNW-2858,VariantKeySNW-2858,SNW-Image9-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/4.jpg,700,700
image,KeySnowboard009,SKU-SNW-2858,VariantKeySNW-2858,SNW-Image9-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/5.jpg,700,700
image,KeySnowboard009,SKU-SNW-2858,VariantKeySNW-2858,SNW-Image9-07,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/6.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0001,VariantKeySNW-2858-0001,SNW-Image9-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0002,VariantKeySNW-2858-0002,SNW-Image9-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0003,VariantKeySNW-2858-0003,SNW-Image9-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0004,VariantKeySNW-2858-0004,SNW-Image9-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0005,VariantKeySNW-2858-0005,SNW-Image9-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0006,VariantKeySNW-2858-0006,SNW-Image9-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0007,VariantKeySNW-2858-0007,SNW-Image9-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
variant,KeySnowboard009,SKU-SNW-2858-0008,VariantKeySNW-2858-0008,SNW-Image9-08-0008,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-9-01/0.jpg,700,700
image,KeySnowboard0010,SKU-SNW-2015,VariantKeySNW-2015,SNW-Image10-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
image,KeySnowboard0010,SKU-SNW-2015,VariantKeySNW-2015,SNW-Image10-02,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/1.jpg,700,700
image,KeySnowboard0010,SKU-SNW-2015,VariantKeySNW-2015,SNW-Image10-03,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/2.jpg,700,700
image,KeySnowboard0010,SKU-SNW-2015,VariantKeySNW-2015,SNW-Image10-04,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/3.jpg,700,700
image,KeySnowboard0010,SKU-SNW-2015,VariantKeySNW-2015,SNW-Image10-05,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/4.jpg,700,700
image,KeySnowboard0010,SKU-SNW-2015,VariantKeySNW-2015,SNW-Image10-06,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/5.jpg,700,700
variant,KeySnowboard0010,SKU-SNW-2015-0001,VariantKeySNW-2015-0001,SNW-Image10-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
variant,KeySnowboard0010,SKU-SNW-2015-0002,VariantKeySNW-2015-0002,SNW-Image10-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
variant,KeySnowboard0010,SKU-SNW-2015-0003,VariantKeySNW-2015-0003,SNW-Image10-03-0003,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
variant,KeySnowboard0010,SKU-SNW-2015-0004,VariantKeySNW-2015-0004,SNW-Image10-04-0004,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
variant,KeySnowboard0010,SKU-SNW-2015-0005,VariantKeySNW-2015-0005,SNW-Image10-05-0005,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
variant,KeySnowboard0010,SKU-SNW-2015-0006,VariantKeySNW-2015-0006,SNW-Image10-06-0006,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
variant,KeySnowboard0010,SKU-SNW-2015-0007,VariantKeySNW-2015-0007,SNW-Image10-07-0007,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-10-01/0.jpg,700,700
image,KeySnowboard0011,SKU-SNW-3475,VariantKeySNW-3475,SNW-Image11-01,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-11-01/0.jpg,700,700
variant,KeySnowboard0011,SKU-SNW-3475-0001,VariantKeySNW-3475-0001,SNW-Image11-01-0001,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-11-01/0.jpg,700,700
variant,KeySnowboard0011,SKU-SNW-3475-0002,VariantKeySNW-3475-0002,SNW-Image11-02-0002,https://raw.githubusercontent.com/ksarise/parser/main/assets/SNW-11-01/0.jpg,700,700
